KM,Año,Combustible,Ciudad,Nº puertas,Garantía,Cambio,Color,Carrocería,Marca,Modelo,Versión,Potencia,Tipo de carrocería,Velocidad máxima,Aceleracion,Consumo,Emisiones,Dimensiones,Etiqueta medioambiental,Precio
79.996,2019,Diésel,Riba Roja de Turia,5,Sí,Automático ,Azul,Station,SEAT,Leon,León ST 2.0 TDI CR 110 kW (150 CV) DSG-7 Start&Stop FR,150 CV,Turismo familiar,212 km/h,8.7 s,4.5 l/100km,117g CO2/km,4548 mm / 1816 mm / 1439 mm,C,16.990€
10,2024,Diésel,Santa Fe,2,Sí,Automático ,Negro,City,False,False,False,8 CV,False,False,False,False,False,False,False,11.500€
3,2024,Diésel,Santa Fe,2,Sí,Automático ,Blanco,City,False,False,False,8 CV,False,False,False,False,False,False,False,14.990€
299.880,2005,Diésel,Castuera,5,Sí,Automático ,Negro,Monovolumen,False,False,False,174 CV,False,False,False,False,False,False,False,14.900€
192.300,2009,Diésel,Castuera,3,Sí,Manual ,Beige,Dos,Volkswagen,Golf,Golf 3p Advance 2.0 TDI 110 CV DPF CR,110 CV,Turismo,190 km/h,10.7 s,4.5 l/100km,119g CO2/km,4199 mm / 1779 mm / 1469 mm,B,8.800€
211.680,2007,Diésel,Castuera,5,Sí,Manual ,Negro,Suv,Toyota,RAV4,RAV4 D-4D Premium 177 cv,177 CV,Todoterreno,200 km/h,9.3 s,7 l/100km,185g CO2/km,4395 mm / 1815 mm / 1720 mm,B,9.900€
192.549,2011,Diésel,Castuera,5,Sí,Manual ,Gris,4,Audi,Q5,Q5 2.0 TDI 143 CV quattro,143 CV,Todoterreno,190 km/h,11.4 s,6.5 l/100km,172g CO2/km,4629 mm / 1880 mm / 1653 mm,B,16.900€
215.350,2013,Diésel,Castuera,5,Sí,Secuencial ,Negro,Sedan,Audi,A7,A7 Sportback 3.0 BiTDI 313 CV quattro tiptronic 8 vel.,313 CV,Turismo,250 km/h,5.3 s,6.4 l/100km,169g CO2/km,4969 mm / 1911 mm / 1420 mm,B,26.500€
186.950,2010,Diésel,Castuera,3,Sí,Manual ,Rojo,Turismo,Audi,A1,A1 1.6 TDI 105 CV Ambition,105 CV,Turismo,190 km/h,10.5 s,3.9 l/100km,103g CO2/km,3954 mm / 1740 mm / 1416 mm,B,9.900€
136.000,2014,Gasolina,Calonge,5,Sí,Secuencial ,Negro,Dos,Mercedes-Benz,Clase A,A 250 4MATIC 7G-DCT,211 CV,Turismo,240 km/h,6.5 s,6.8 l/100km,156g CO2/km,4292 mm / 1780 mm / 1433 mm,C,18.700€
